Bearbeiding og konservering av frukt og grønnsaker,10.31
Produksjon av vegetabilske og animalske oljer og fettstoffer,10.41
Produksjon av vegetabilske og animalske oljer og fettstoffer,10.42
Produksjon av meierivarer og iskrem,10.52
Produksjon av meierivarer og iskrem,10.51
"Produksjon av kornvarer, stivelse og stivelsesprodukter",10.61
"Produksjon av kornvarer, stivelse og stivelsesprodukter",10.62
Produksjon av bakeri- og pastavarer,10.73
Produksjon av bakeri- og pastavarer,10.71
Produksjon av bakeri- og pastavarer,10.72
Produksjon av andre næringsmidler,10.86
Produksjon av andre næringsmidler,10.89
Produksjon av andre næringsmidler,10.84
Produksjon av andre næringsmidler,10.83
Produksjon av andre næringsmidler,10.85
Produksjon av andre næringsmidler,10.82
Produksjon av andre næringsmidler,10.81
Produksjon av fôrvarer,10.91
Produksjon av fôrvarer,10.92
Produksjon av drikkevarer,11.07
Produksjon av drikkevarer,11.05
Produksjon av drikkevarer,11.03
Produksjon av drikkevarer,11.02
Produksjon av drikkevarer,11.04
Produksjon av drikkevarer,11.01
Produksjon av tobakksvarer,12.00
Bearbeiding og spinning av tekstilfibrer,13.10
Veving av tekstiler,13.20
Etterbehandling av tekstiler,13.30
Produksjon av andre tekstiler,13.93
Produksjon av andre tekstiler,13.92
Produksjon av andre tekstiler,13.96
Produksjon av andre tekstiler,13.95
Produksjon av andre tekstiler,13.91
Produksjon av andre tekstiler,13.99
Produksjon av andre tekstiler,13.94
"Produksjon av klær, unntatt pelsvarer",14.13
"Produksjon av klær, unntatt pelsvarer",14.12
"Produksjon av klær, unntatt pelsvarer",14.19
"Produksjon av klær, unntatt pelsvarer",14.14
"Produksjon av klær, unntatt pelsvarer",14.11
Produksjon av pelsvarer,14.20
Produksjon av klær av trikotasje,14.39
Produksjon av klær av trikotasje,14.31
"Beredning av lær, produksjon av reiseeffekter og salmakerartikler og beredning og farging av pelsskinn",15.12
"Beredning av lær, produksjon av reiseeffekter og salmakerartikler og beredning og farging av pelsskinn",15.11
Produksjon av skotøy,15.20
"Saging, høvling og impregnering av tre",16.10
"Produksjon av varer av tre, kork, strå og flettematerialer",16.21
"Produksjon av varer av tre, kork, strå og flettematerialer",16.23
"Produksjon av varer av tre, kork, strå og flettematerialer",16.24
"Produksjon av varer av tre, kork, strå og flettematerialer",16.22
"Produksjon av varer av tre, kork, strå og flettematerialer",16.29
"Produksjon av papirmasse, papir og papp",17.12
"Produksjon av papirmasse, papir og papp",17.11
Produksjon av varer av papir og papp,17.22
Produksjon av varer av papir og papp,17.21
Produksjon av varer av papir og papp,17.23
Produksjon av varer av papir og papp,17.29
Produksjon av varer av papir og papp,17.24
Trykking og tjenester tilknyttet trykking,18.11
Trykking og tjenester tilknyttet trykking,18.12
Trykking og tjenester tilknyttet trykking,18.14
Trykking og tjenester tilknyttet trykking,18.13
Reproduksjon av innspilte opptak,18.20
Produksjon av kullprodukter,19.10
Produksjon av raffinerte petroleumsprodukter,19.20
"Produksjon av kjemiske råvarer, gjødsel og nitrogenforbindelser, basisplast og syntetisk gummi",20.11
"Produksjon av kjemiske råvarer, gjødsel og nitrogenforbindelser, basisplast og syntetisk gummi",20.15
"Produksjon av kjemiske råvarer, gjødsel og nitrogenforbindelser, basisplast og syntetisk gummi",20.13
"Produksjon av kjemiske råvarer, gjødsel og nitrogenforbindelser, basisplast og syntetisk gummi",20.14
"Produksjon av kjemiske råvarer, gjødsel og nitrogenforbindelser, basisplast og syntetisk gummi",20.17
"Produksjon av kjemiske råvarer, gjødsel og nitrogenforbindelser, basisplast og syntetisk gummi",20.12
"Produksjon av kjemiske råvarer, gjødsel og nitrogenforbindelser, basisplast og syntetisk gummi",20.16
Produksjon av plantevern- og skadedyrmidler og andre landbrukskjemiske produkter,20.20
"Produksjon av maling og lakk, trykkfarger og tetningsmidler",20.30
"Produksjon av såpe og vaskemidler, rense- og polermidler, parfyme og toalettartikler",20.42
"Produksjon av såpe og vaskemidler, rense- og polermidler, parfyme og toalettartikler",20.41
Produksjon av andre kjemiske produkter,20.53
Produksjon av andre kjemiske produkter,20.52
Produksjon av andre kjemiske produkter,20.59
Produksjon av andre kjemiske produkter,20.51
Produksjon av kunstfibrer,20.60
Produksjon av farmasøytiske råvarer,21.10
Produksjon av farmasøytiske preparater,21.20
Produksjon av gummiprodukter,22.19
Produksjon av gummiprodukter,22.11
Produksjon av plastprodukter,22.29
Produksjon av plastprodukter,22.21
Produksjon av plastprodukter,22.23
Produksjon av plastprodukter,22.22
Produksjon av glass og glassprodukter,23.13
Produksjon av glass og glassprodukter,23.14
Produksjon av glass og glassprodukter,23.12
Produksjon av glass og glassprodukter,23.11
Produksjon av glass og glassprodukter,23.19
Produksjon av ildfaste produkter,23.20
Produksjon av byggevarer av brent leire,23.32
Produksjon av byggevarer av brent leire,23.31
Produksjon av andre porselensprodukter og keramiske produkter,23.42
Produksjon av andre porselensprodukter og keramiske produkter,23.43
Produksjon av andre porselensprodukter og keramiske produkter,23.49
Produksjon av andre porselensprodukter og keramiske produkter,23.41
Produksjon av andre porselensprodukter og keramiske produkter,23.44
"Produksjon av sement, kalk og gips",23.51
"Produksjon av sement, kalk og gips",23.52
"Produksjon av betong-, sement- og gipsprodukter",23.64
"Produksjon av betong-, sement- og gipsprodukter",23.65
"Produksjon av betong-, sement- og gipsprodukter",23.69
"Produksjon av betong-, sement- og gipsprodukter",23.63
"Produksjon av betong-, sement- og gipsprodukter",23.62
"Produksjon av betong-, sement- og gipsprodukter",23.61
Hogging og bearbeiding av monument- og bygningsstein,23.70
Produksjon av ikke-metallholdige mineralprodukter ikke nevnt annet sted,23.91
Produksjon av ikke-metallholdige mineralprodukter ikke nevnt annet sted,23.99
"Produksjon av jern og stål, samt ferrolegeringer",24.10
Produksjon av andre rør og rørdeler av stål,24.20
Annen bearbeiding av jern og stål,24.34
Annen bearbeiding av jern og stål,24.31
Annen bearbeiding av jern og stål,24.33
Annen bearbeiding av jern og stål,24.32
Produksjon av ikke-jernholdige metaller,24.44
Produksjon av ikke-jernholdige metaller,24.42
Produksjon av ikke-jernholdige metaller,24.43
Produksjon av ikke-jernholdige metaller,24.46
Produksjon av ikke-jernholdige metaller,24.45
Produksjon av ikke-jernholdige metaller,24.41
Støping av metaller,24.54
Støping av metaller,24.53
Støping av metaller,24.51
Støping av metaller,24.52
Produksjon av metallkonstruksjoner,25.11
Produksjon av metallkonstruksjoner,25.12
"Produksjon av tanker, cisterner og andre beholdere av metall",25.21
"Produksjon av tanker, cisterner og andre beholdere av metall",25.29
"Produksjon av dampkjeler, unntatt kjeler til sentralvarmeanlegg",25.30
Produksjon av våpen og ammunisjon,25.40
"Smiing, stansing og valsing av metall, og pulvermetallurgi",25.50
Overflatebehandling og bearbeiding av metaller,25.62
Overflatebehandling og bearbeiding av metaller,25.61
"Produksjon av kjøkkenredskaper, skjære- og klipperedskaper, håndverktøy og andre jernvarer",25.73
"Produksjon av kjøkkenredskaper, skjære- og klipperedskaper, håndverktøy og andre jernvarer",25.72
"Produksjon av kjøkkenredskaper, skjære- og klipperedskaper, håndverktøy og andre jernvarer",25.71
Produksjon av andre metallvarer,25.99
Produksjon av andre metallvarer,25.92
Produksjon av andre metallvarer,25.93
Produksjon av andre metallvarer,25.94
Produksjon av andre metallvarer,25.91
Produksjon av elektroniske komponenter og kretskort,26.12
Produksjon av elektroniske komponenter og kretskort,26.11
Produksjon av datamaskiner og tilleggsutstyr,26.20
Produksjon av kommunikasjonsutstyr,26.30
Produksjon av elektronikk til husholdningsbruk,26.40
"Produksjon av måle-, kontroll- og navigasjonsinstrumenter, og klokker og ur",26.51
"Produksjon av måle-, kontroll- og navigasjonsinstrumenter, og klokker og ur",26.52
"Produksjon av strålingsutstyr, elektromedisinsk og elektroterapeutisk utstyr",26.60
Produksjon av optiske instrumenter og fotografisk utstyr,26.70
Produksjon av magnetiske og optiske media,26.80
"Produksjon av elektromotorer, generatorer, transformatorer og elektriske fordelings- og kontrolltavler og paneler",27.12
"Produksjon av elektromotorer, generatorer, transformatorer og elektriske fordelings- og kontrolltavler og paneler",27.11
Produksjon av batterier og akkumulatorer,27.20
Produksjon av ledninger og ledningsmateriell,27.33
Produksjon av ledninger og ledningsmateriell,27.32
Produksjon av ledninger og ledningsmateriell,27.31
Produksjon av belysningsutstyr,27.40
Produksjon av husholdningsmaskiner og -apparater,27.51
Produksjon av husholdningsmaskiner og -apparater,27.52
Produksjon av annet elektrisk utstyr,27.90
Produksjon av maskiner og utstyr til generell bruk,28.15
Produksjon av maskiner og utstyr til generell bruk,28.12
Produksjon av maskiner og utstyr til generell bruk,28.14
Produksjon av maskiner og utstyr til generell bruk,28.13
Produksjon av maskiner og utstyr til generell bruk,28.11
Produksjon av andre maskiner og annet utstyr til generell bruk,28.29
Produksjon av andre maskiner og annet utstyr til generell bruk,28.23
Produksjon av andre maskiner og annet utstyr til generell bruk,28.25
Produksjon av andre maskiner og annet utstyr til generell bruk,28.21
Produksjon av andre maskiner og annet utstyr til generell bruk,28.24
Produksjon av andre maskiner og annet utstyr til generell bruk,28.22
Produksjon av jordbruks- og skogbruksmaskiner,28.30
Produksjon av maskiner til metallbearbeiding og annet maskinverktøy,28.49
Produksjon av maskiner til metallbearbeiding og annet maskinverktøy,28.41
Produksjon av andre spesialmaskiner,28.91
Produksjon av andre spesialmaskiner,28.99
Produksjon av andre spesialmaskiner,28.93
Produksjon av andre spesialmaskiner,28.94
Produksjon av andre spesialmaskiner,28.96
Produksjon av andre spesialmaskiner,28.95
Produksjon av andre spesialmaskiner,28.92
Produksjon av motorvogner,29.10
Produksjon av karosserier og tilhengere,29.20
Produksjon av deler og utstyr til motorvogner,29.32
Produksjon av deler og utstyr til motorvogner,29.31
Bygging av skip og båter,30.11
Bygging av skip og båter,30.12
Produksjon av lokomotiver og annet rullende materiell til jernbane og sporvei,30.20
Produksjon av luftfartøyer og romfartøyer og lignende utstyr,30.30
Produksjon av militære stridskjøretøyer,30.40
Produksjon av transportmidler ikke nevnt annet sted,30.91
Produksjon av transportmidler ikke nevnt annet sted,30.92
Produksjon av transportmidler ikke nevnt annet sted,30.99
Produksjon av møbler,31.02
Produksjon av møbler,31.09
Produksjon av møbler,31.03
Produksjon av møbler,31.01
"Produksjon av gull- og sølvvarer, bijouteri og lignende artikler",32.11
"Produksjon av gull- og sølvvarer, bijouteri og lignende artikler",32.12
"Produksjon av gull- og sølvvarer, bijouteri og lignende artikler",32.13
Produksjon av musikkinstrumenter,32.20
Produksjon av sportsartikler,32.30
Produksjon av spill og leker,32.40
Produksjon av medisinske og tanntekniske instrumenter og utstyr,32.50
